record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00558nas  2200181u  4500,9912766170101480,911025q19851986be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001276617LBS01-Aleph^$ $ $a3937201^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912766170101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBeeldpastoraal : werkblad voor gespreksleiders.,^$ $ $aMechelen$ $ $bKerk en Wereld$ $ $c1985-[1986],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aKerk en wereld$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00814nas  2200229u  4500,9912781900101480,911025q19851986be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001278190LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912781900101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aSamana. Nieuwsbrief,,^$ $ $aSemiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1983]-^$ $1$aAntwerpen$ $ $bSamana Antwerpen$ $ $32016-^$ $1$aAntwerpen$ $ $bChristelijke mutualiteiten. Ziekenzorg$ $ $3[1983]-2016.,^$ $ $aKADOC$ $ $bphysical$ $ $c201503$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amutualiteiten$ $ $6(ODIS-TW)2447,,,,,,^$1$0$aChristelijke mutualiteiten. Ziekenzorg. Nieuwsbrief.,,,,,,,,,,,,,,,,,,,,,
00810nas  2200229u  4500,9912782160101480,911031q19841990be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001278216LBS01-Aleph^$ $ $a3945275^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912782160101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe vredesgroet van de Pax Christi gemeenschappen.,^$ $ $aAntwerpen$ $ $bPax Christi gemeenschappen$ $ $c1984-[1990],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,,^$2$ $aPax christi gemeenschappen$ $ $4oth,,^$ $ $aTitel varieert: De vredesgroet van de Pax Christi fraterniteiten,,,,,^$ $ $aBijlage bij: PCV-intern,,,,,,,,^$1$8$w(BeLVLBS)000740274LBS01-Aleph$ $ $tPCV-intern$ $ $4772,,,,,,,,,,,
00644nas  2200217u  4500,9912819110101480,911113q19832007be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001281911LBS01-Aleph^$ $ $a3962062^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912819110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDF-spiegel.,,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1983-[2007]^$ $1$aLotenhulle$ $ $bDavidsfonds$ $ $31983-[2007],^$ $ $aKADOC$ $ $bphysical$ $ $c202012$ $ $9local,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Lotenhulle-Poeke$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00585nas  2200193u  4500,9912855410101480,911125d19839999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001285541LBS01-Aleph^$ $ $a3977890^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912855410101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfo vormingscentrum.,^$ $ $aBrussel$ $ $bLCM$ $ $c[1983]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,,^$2$ $aLandsbond der christelijke mutualiteiten.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00542nas  2200181u  4500,9912855490101480,911125q19811986be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001285549LBS01-Aleph^$ $ $a3977924^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912855490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDoorgeefbrief.,^$ $ $aAalst$ $ $bZiekenzorg CM. Verbond Aalst $ $ $c1981-[1986],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00513nas  2200169u  4500,9912855970101480,911125q19811986be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001285597LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912855970101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aKontaktblad KVG-Verbond Brussel.,^$ $ $aBrussel$ $ $bKVG. Verbond Brussel$ $ $c[1983]-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00650nas  2200205u  4500,9912856660101480,911125q19821995be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001285666LBS01-Aleph^$ $ $a3978348^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912856660101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZiekenzorg info.,^$ $ $aBrussel$ $ $bCM. Ziekenzorg$ $ $c1982-1995,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00641nas  2200193u  4500,9912895970101480,911205q19811989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001289597LBS01-Aleph^$ $ $a3995378^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912895970101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aAfrika - familie - missie.,^$ $ $aBrussel$ $ $bMissiezusters van Onze Lieve Vrouw van Afrika$ $ $c1981-[1989],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,,^$2$ $aMissiezusters van Onze Lieve Vrouw van Afrika$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00680nas  2200193u  4500,9912897250101480,911205q19811989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001289725LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912897250101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBerichten van de Antwerpse contactgroep.$ $ $613071536,^$ $ $aAntwerpen$ $ $bACJCB (Antwerpse Contactgroep voor Joods-Christelijke Betrekkingen)$ $ $c[1982]-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c202104$ $ $9local,,^$ $7$2UDC$ $ $a296*82$ $ $xDialoog joden - christenen^$ $7$2UCLL$ $ $aJoodse godsdienst$ $ $eVT,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039nas  2200277u  4500,9912971570101480,920110c19859999be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001297157LBS01-Aleph^$ $ $a4035100^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912971570101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aGerechtigheid en vrede. Informatiebulletin.,,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1985-^$ $1$aBrussel$ $ $bComité voor rechtvaardigheid en vrede in Guatemala$ $ $3[1991]-.,^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $abasisgemeenschappen$ $ $6(ODIS-TW)215^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,^$1$1$aBulletin Comité voor rechtvaardigheid en vrede in Guatemala,,,,^$1$0$aRechtvaardigheid en vrede. Bulletin.$ $ $g1991-2010^$1$0$aJusticia y paz$ $ $g1985-1991,,,,,,,,,,,,,,,,,,,,,
00812nas  2200241u  4500,9912978090101480,920113q19831984be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001297809LBS01-Aleph^$ $ $a4038883^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9912978090101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe regenboog.,^$ $ $aGenk$ $ $bJong-KVG$ $ $c1983-[1984],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.am,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,^$2$ $aJong-KVG-Genk$ $ $4oth,,,^$1$8$w(BeLVLBS)001297812LBS01-Aleph$ $ $tDe harteklop$ $ $4780,,,,^$ $ $aVoortzetting van: De harteklop,,,,,,,,,,,,,,,,,,,
00511nas  2200181u  4500,9913061410101480,920210q19842005be mr|p||     0|||a|und c,^$ $ $a(BeLVLBS)001306141LBS01-Aleph^$ $ $a4087823^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913061410101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCommunications.,^$ $ $aLommel$ $ $bStalmans$ $ $c[1984]-[2005],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,^$1$1$aMededelingen,,,,,,,,,,,,,,,,,,,,,,,,,
00831nas  2200229u  4500,9913107630101480,920224q19851998be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001310763LBS01-Aleph^$ $ $a4113266^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913107630101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aVluchtelingen van gisteren - Vluchtelingen van heden.,^$ $ $aHuy$ $ $bHulpverlening aan ontheemden$ $ $c1985-[1998],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aHulpverlening aan ontheemden$ $ $4oth,,,^$1$8$w(BeLVLBS)001310739LBS01-Aleph$ $ $tHulp aan verplaatste personen$ $ $4780,,,,^$ $ $aVoortzetting van: Hulp aan verplaatste personen,,,,,,,,,,,,,,,,,,,
00734nas  2200205u  4500,9913113210101480,920224q19851998be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001311321LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913113210101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBulletin de l'OMAAEEC.,,^$ $ $aSemiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1981-[1987]^$ $1$aBruxelles$ $ $bOMAAEEC (Organisation mondiale des anciens et anciennes élèves de l'enseignement catholique),,,,^$2$ $aOrganisation mondiale des anciens et anciennes élèves de l'enseignement catholique$ $ $4oth,,,,,,,,,,^$ $ $aHCPPW CHECKED,,,,,,,,,,,,,,,,
00642nas  2200181u  4500,9916775420101480,920224q19851998be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001677542LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916775420101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo-krant Vakantiegenoegens Antwerpen.,^$ $ $aAntwerpen$ $ $bVakantiegenoegens. Verbond Antwerpen$ $ $c[1983]-1984,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,^$ $ $aVoortgezet als: Info vakantiegenoegens: verbondsnieuws van Vakantiegenoegens Antwerpen,,,,,,,,,,,,,,,,,,,
00735nas  2200193u  4500,9916775590101480,920224q19851998be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001677559LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916775590101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo Vakantiegenoegens$ $ $bverbondsnieuws van Vakantiegenoegens Antwerpen.,^$ $ $aAntwerpen$ $ $bVakantiegenoegens. Verbond Antwerpen$ $ $c1984-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,^$1$8$w(BeLVLBS)001677542LBS01-Aleph$ $ $tInfo-krant Vakantiegenoegens Antwerpen$ $ $4780,,,,^$ $ $aVoortzetting van: Info-krant Vakantiegenoegens Antwerpen,,,,,,,,,,,,,,,,,,,
00656nas  2200193u  4500,9916775880101480,951205d19859999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001677588LBS01-Aleph^$ $ $a6229353^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916775880101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfo-blad Vakantiegenoegens Brussel-Halle Vilvoorde.,^$ $ $aBrussel$ $ $bVakantiegenoegens. Brussel-Halle Vilvoorde$ $ $c[1985]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,^$2$ $aVakantiegenoegens. Brussel-Halle Vilvoorde$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00691nas  2200217u  4500,9916795930101480,951211q19851997be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001679593LBS01-Aleph^$ $ $a6239674^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916795930101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSantiago Y Flandes.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1985-[1997]^$ $1$aStabroek$ $ $bSantiago y Flandes$ $ $31985-[1997].,^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00682nas  2200193u  4500,9916845160101480,960104q19851987be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001684516LBS01-Aleph^$ $ $a6265307^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916845160101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTraditions religieuses : périodique du CDTR et du MTRP.,^$ $ $aLiège$ $ $bCentre de documentation des traditions religieuses$ $ $c[1985]-[1987],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,^$2$ $aCentre de documentation des traditions religieuses$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00567nas  2200193u  4500,9916845370101480,960104q19811982be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001684537LBS01-Aleph^$ $ $a6265428^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916845370101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$a+ 16 Krant.,^$ $ $aLeuven$ $ $bKSA. Gouw Brabant$ $ $c1981-[1982],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,^$2$ $aKSA. Gouw Brabant$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00597nas  2200193u  4500,9916927860101480,960130q19821989be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001692786LBS01-Aleph^$ $ $a6309066^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916927860101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCrescendo.,^$ $ $aKessel-Lo$ $ $bFedekam Brabant $ $ $c[1982][1989],"^$ $ $aBimonthly$ $ $bVanaf Jg 6, 1987 quarterly",^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,^$2$ $aFedekam-Brabant$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00657nas  2200217u  4500,9916927920101480,960130q19821989be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001692792LBS01-Aleph^$ $ $a6309099^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916927920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfo Fedekam West-Vlaanderen.,,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-[1989]^$ $1$aBrugge$ $ $bFedekam. West-Vlaanderen$ $ $c1982-[1989],^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,^$2$ $aFedekam. West-Vlaanderen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00679nas  2200205u  4500,9917001690101480,960221q19831994be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001700169LBS01-Aleph^$ $ $a6348753^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917001690101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aMariapoli : intern nieuws van het focolare in de wereld.,^$ $ $aBrussel$ $ $bMariapoli$ $ $c[1983]-[1994],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,^$ $ $aTitel varieert: Mariapolis,^$1$8$w(BeLVLBS)001818772LBS01-Aleph$ $ $tFocolari-bundel$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00620nas  2200205u  4500,9917027130101480,960228q19851992be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001702713LBS01-Aleph^$ $ $a6361350^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917027130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCRM-senioren-blad.,^$ $ $aAntwerpen$ $ $bCRM. Groot-Antwerpen$ $ $c1985/86-[1991/92],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aCRM. Groot-Antwerpen$ $ $4oth,,^$ $ $aTitel varieert,,,,,,,,,,,,,,,,,,,,,,,,
00570nas  2200169u  4500,9917064210101480,960228q19851992be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001706421LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917064210101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't Brugske$ $ $bdriemaandelkijks informatieblad voor plaatselijke medewerkers.,^$ $ $aTongerlo$ $ $bKerk in Nood/Oostpriesterhulp$ $ $c[1982]-[1984],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01078nas  2200277u  4500,9917090560101480,960318d19851994be br|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001709056LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917090560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCoccinelle$ $ $bla b.d. à Bon Dieu,,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,"^$ $1$c1985-1994^$ $1$aBruxelles$ $ $bCentre International Chrétien de Recherches, d'Information et d'Analyse de la bande dessinée^$ $1$aBruxelles$ $ $bCentre religieux d'information et d'analyse de la bande dessinée$ $ $31985-1986",,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),"^$2$ $aC.R.I.A.B.D.$ $ $4oth^$2$ $aCentre international chrétien de recherches, d'information et d'analyse de la bande dessinée$ $ $4oth",,^$ $ $aFrequentie varieert,,^$ $ $a0775-4515,^$1$0$aCoccinelle$ $ $bla B. D. religieuse$ $ $g1985,,,,,,,,"^$1$ $aFrancart, Roland$ $ $cS.J.$ $ $d1945-$ $ $4oth",,,,,,,,,,,,,
00701nas  2200229u  4500,9917091930101480,960318c19859999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001709193LBS01-Aleph^$ $ $a6392942^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917091930101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aFOVIG.,^$ $ $aDeerlijk$ $ $bFOVIG$ $ $c1985-,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aFOVIG$ $ $4oth,,^$ $ $aPlaats van uitgave varieert,,,,,,,,,,,,,,,,,,,,,,,,
00499nas  2200169u  4500,9917282260101480,960318c19859999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001728226LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917282260101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBijdehandje.,^$ $ $aAntwerpen$ $ $bVKAJ. Verbond Antwerpen$ $ $c1984-1985,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00965nas  2200253u  4500,9917302350101480,960523d19851940be wr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001730235LBS01-Aleph^$ $ $a6502742^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917302350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aLe Vingtième artistique et littéraire$ $ $613074803,^$ $ $aBruxelles$ $ $bLe vingtième siècle$ $ $c1895-1940,^$ $ $aWeekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201903$ $ $dA$ $ $9local,,^$ $7$2KADOC$ $ $aC4$ $ $xMedia en communicatie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,^$3$3$aLe XXe artistique et littéraire,,,,,,^$ $ $aSuppl. à: Le vingtiéme siècle,,,,,,,,^$1$8$w(BeLVLBS)001462158LBS01-Aleph$ $ $tLe vingtième siècle : journal d'union et d'action catholique$ $ $4772,,,^$ $2$uhttps://anet.be/record/opacbnc/c:bnc:894$ $ $yThis edition in Abraham,,,,,,,,
00658nas  2200193u  4500,9917317290101480,960523d19851940be wr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001731729LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917317290101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo$ $ $been blad voor werkzoekenden.,^$ $ $aAalst$ $ $bACV. Verbond Aalst$ $ $c[1983]-?,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,,,,,,,,,,,,,,,,,,,,,,,,,,
