001,Title -- 245^$0$0$a,Publication -- 260^$ $ $a,Publication Frequency -- 310^$ $ $a,"Production, Publication -- 264^$ $1$c",Topical Term -- 650^$ $7$2,Index Term -- 653^$ $6$a,Electronic Access -- 856^$ $2$u,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,110,901,692,250,525,600,983,505,record - leader,008,035,040,336,337,338,996,998
9918851490101480,UNDA News,,Bimonthly,^$ $1$c[1982]-2001^$ $1$aBruxelles$ $ $bUNDA$ $ $3[1982]-2001,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$ $6$aPeriodicals,,^$2$ $aUNDA$ $ $gInternational Catholic Association for Radio and Television$ $ $4edt,,"^$ $ $aOndertitel varieert^$ $ $aFrom 1999 until 2001, several issues are published as a joint newsletter with the organization OCIC under the name ""OCIC-UNDA-INFO""",,^$ $ $a0258-9494$ $ $2print,^$1$0$aThe wide world of Unda$ $ $bmonthly newsletter$ $ $g[1982]-1988,^$ $ $aMonthly$ $ $b[1982]-1994,,,,,,,,,,,,,,,,,,,,01038nas  2200277u  4500,971117d19822001be br|p||     0|||a|eng c,^$ $ $a(BeLVLBS)001885149LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918851490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $ $aKADOC$ $ $bphysical$ $ $c201412,
,bi-monthly newsletter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918854650101480,Variant.,^$ $ $aHasselt$ $ $bLicht en liefde. Gewest Limburg$ $ $c1985-[1986],Quarterly,,,,,^$2$ $aLicht en liefde. Gewest Limburg$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00595nas  2200193u  4500,971117q19851986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001885465LBS01-Aleph^$ $ $a7234767^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918854650101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
9918878990101480,Zorgend leven bij onze bejaarden,^$ $ $aHasselt$ $ $bBisdom Hasselt. Secretariaat bejaardenpastoraal$ $ $c1981-[1989],Monthly,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00754nas  2200205u  4500,971124q19811989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001887899LBS01-Aleph^$ $ $a7245046^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918878990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,Contact met het personeel van de bejaardentehuizen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918881240101480,Vanonderuit.,^$ $ $aS.l.$ $ $bACV-CCMB Boelwerf Temse$ $ $c1983-?,Monthly,,,,,^$2$ $aACV-CCMB Boelwerf$ $ $cTemse$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00574nas  2200193u  4500,971124q19839999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001888124LBS01-Aleph^$ $ $a7246056^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918881240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
9918904850101480,Tongeren ziekenzorg.,^$ $ $aTongeren$ $ $bVerbond van kristelijke mutualiteiten van Limburg. Afdeling Tongeren$ $ $c1981-[1985],Semiannual,,,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00554nas  2200169u  4500,971124q19839999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890485LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918904850101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,
9918909420101480,Zomaar.,^$ $ $aRoeselare$ $ $bJeugd en gezondheid CM. Verbond Roeselare$ $ $c1984-[1989],Quarterly,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00674nas  2200205u  4500,971202q19841989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890942LBS01-Aleph^$ $ $a7258446^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918909420101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
9918926110101480,SMB info.,^$ $ $aBrussel$ $ $bSint-Michielsbond$ $ $c[1985]-[1988],Quarterly,,,^$ $6$aPeriodicals,,^$2$ $aSint-Michielsbond$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00598nas  2200205u  4500,971208q19851988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892611LBS01-Aleph^$ $ $a7266590^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
9918926700101480,^$0$3$aDe kleine zeg : informatieblad voor de CVP-leden van het arr. Ieper.,^$ $ $aIeper$ $ $bCVP. Arrondissement Ieper$ $ $c1983-[1990],Quarterly,,,,,^$2$ $aCVP. Arrondissement Ieper$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00641nas  2200193u  4500,971208q19831990be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892670LBS01-Aleph^$ $ $a7266796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926700101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
