record - leader,001 Control Number,008 Fixed-Length Data Elements,035^$ $ $a System Control Number,040^$ $ $a Cataloging Source,245^$0$0$a Title,245^$0$2$a Title - w Article,245^$0$3$a Title - w Article,245^$0$4$a Title - w Article,"260^$ $ $a Publication, Distribution",310^$ $ $a Current Publication Frequency,336 Content Type,337 Media Type,338 Carrier Type,653 Index Term - Uncontrolled,"264 Production, Publication, Distribution, Manufacture, and Copyright Notice",996,998,650 Subject Added Entry - Topical Term,710 Added Entry - Corporate Name,246 Varying Form of Title,500 General Note,775 Other Edition Entry,022 International Standard Serial Number,247 Former Title,321 Former Publication Frequency,580 Linking Entry Complexity Note,546 Language Note,521 Target Audience Note,900,300 Physical Description,490 Series Statement,700 Added Entry - Personal Name,041 Language Code,773 Host Item Entry,981,711 Added Entry - Meeting Name,856 Electronic Location and Access,110 Main Entry - Corporate Name,901,692 Local Subject Access Fields,250 Edition Statement,525 Supplement Note,600 Subject Added Entry - Personal Name,983,505 Formatted Contents Note
,,,7210718,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918803310101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00770nas  2200229u  4500,9918803990101480,971029q19832012be qr|p||     0|||a|fre c,,BeLVLBS,"Solidarité Bolivië ""El Molino - Yocalla""",,,,,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1983]-[2012]^$ $1$aS.l.$ $ $bJeunes solidaires Bolivië$ $ $3[1983]-[2012].,^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aJeunes solidaires Bolivië$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001880399LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7211143,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918803990101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00600nas  2200193u  4500,9918806510101480,971029d19859999be ur|p||     0|||a|dut c,,BeLVLBS,Spoed-info,,,,Brussel$ $ $bNCOV$ $ $c[1985]-?,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aNationale confederatie van ouderverenigingen.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001880651LBS01-Aleph,Language of cataloging varies,federatie besturen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7212254,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918806510101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00560nas  2200193u  4500,9918826960101480,971106q19851987be qr|p||     0|||a|dut c,,BeLVLBS,Salesiaans missienieuws.,,,,Brussel$ $ $bDMOS$ $ $c[1985]-[1987],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aDMOS.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001882696LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7222064,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918826960101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00735nas  2200217u  4500,9918829630101480,971106d19849999be qr|p||     0|||a|dut c,,BeLVLBS,,,De syndicale jongerenkrant,,S.l.$ $ $bACV$ $ $c1984-?,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aACV$ $ $4oth^$2$ $aVKAJ.$ $ $4oth^$2$ $aKajottersbeweging$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001882963LBS01-Aleph,Language of cataloging varies,,,driemaandelijks tijdschrift ACV - VKAJ - Kajottersbeweging ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7223288,rda based,,,Uitg. ACV in samenwerking met VKAJ en Kajottersbeweging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
